timestamp,PPG-IR,PPG-G,PPG-R,HR,Accel-Z,Accel-X,Accel-Y
2026-04-18T09:58:06.655Z,38229.0,2064.0,2100.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.655Z,38249.0,2064.0,2083.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.656Z,38269.0,2064.0,2083.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.719Z,38289.0,2064.0,2048.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.719Z,38309.0,2064.0,2048.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.720Z,38329.0,2064.0,2000.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.772Z,38349.0,2064.0,2000.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.834Z,38369.0,2064.0,1957.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.834Z,38389.0,2064.0,1957.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.835Z,38409.0,2064.0,1935.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.836Z,38429.0,2064.0,1935.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.836Z,38449.0,2064.0,1936.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.900Z,38469.0,2064.0,1936.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.901Z,38489.0,2064.0,1947.0,0.0,-2.3474,0.5157,9.5845
2026-04-18T09:58:06.901Z,38509.0,2061.0,1947.0,0.0,-2.3486,0.518,9.5821
2026-04-18T09:58:06.962Z,38529.0,2061.0,1958.0,0.0,-2.3462,0.5168,9.5916
2026-04-18T09:58:06.962Z,38550.0,2061.0,1958.0,0.0,-2.3462,0.5168,9.5916
2026-04-18T09:58:06.964Z,38569.0,2061.0,1966.0,0.0,-2.3545,0.53,9.5845
2026-04-18T09:58:07.026Z,38589.0,2064.0,1966.0,0.0,-2.3581,0.5288,9.5856
2026-04-18T09:58:07.026Z,38609.0,2064.0,1968.0,0.0,-2.3581,0.5288,9.5856
2026-04-18T09:58:07.026Z,38629.0,2064.0,1968.0,0.0,-2.3521,0.5168,9.5785
2026-04-18T09:58:07.088Z,38649.0,2064.0,1970.0,0.0,-2.3521,0.5168,9.5785
2026-04-18T09:58:07.088Z,38669.0,2064.0,1970.0,0.0,-2.3438,0.5157,9.5868
2026-04-18T09:58:07.089Z,38689.0,2064.0,1969.0,0.0,-2.3533,0.5264,9.5856
2026-04-18T09:58:07.213Z,38709.0,2064.0,1969.0,0.0,-2.3533,0.5264,9.5856
2026-04-18T09:58:07.213Z,38729.0,2064.0,1965.0,0.0,-2.3498,0.524,9.5845
2026-04-18T09:58:07.214Z,38749.0,2064.0,1965.0,0.0,-2.3498,0.524,9.5845
2026-04-18T09:58:07.214Z,38769.0,2064.0,1965.0,0.0,-2.3486,0.524,9.5785
2026-04-18T09:58:07.215Z,38789.0,2064.0,1965.0,0.0,-2.3486,0.524,9.5785
2026-04-18T09:58:07.264Z,38809.0,2064.0,1957.0,0.0,-2.3593,0.524,9.5868
2026-04-18T09:58:07.266Z,38829.0,2064.0,1957.0,0.0,-2.3593,0.524,9.5868
2026-04-18T09:58:07.266Z,38849.0,2064.0,1946.0,0.0,-2.3486,0.5204,9.5892
2026-04-18T09:58:07.268Z,38869.0,2064.0,1946.0,0.0,-2.3486,0.5204,9.5892
2026-04-18T09:58:07.331Z,38889.0,2064.0,1930.0,0.0,-2.3509,0.518,9.5856
2026-04-18T09:58:07.331Z,38909.0,2064.0,1930.0,0.0,-2.3509,0.518,9.5856
2026-04-18T09:58:07.332Z,38930.0,2064.0,1923.0,0.0,-2.3617,0.5288,9.5856
2026-04-18T09:58:07.379Z,38949.0,2064.0,1923.0,0.0,-2.3509,0.5276,9.5856
2026-04-18T09:58:07.403Z,38969.0,2064.0,1922.0,0.0,-2.3509,0.5276,9.5856
2026-04-18T09:58:07.403Z,38989.0,2064.0,1922.0,0.0,-2.345,0.5204,9.5845
2026-04-18T09:58:07.446Z,39009.0,2064.0,1922.0,0.0,-2.345,0.5204,9.5845
2026-04-18T09:58:07.446Z,39030.0,2064.0,1922.0,0.0,-2.3569,0.5192,9.5845
2026-04-18T09:58:07.447Z,39049.0,2064.0,1934.0,0.0,-2.3498,0.5288,9.5856
2026-04-18T09:58:07.509Z,39069.0,2064.0,1934.0,0.0,-2.3498,0.5288,9.5856
2026-04-18T09:58:07.509Z,39089.0,2064.0,1939.0,0.0,-2.345,0.5264,9.5833
2026-04-18T09:58:07.510Z,39110.0,2064.0,1939.0,0.0,-2.345,0.5264,9.5833
2026-04-18T09:58:07.552Z,39130.0,2064.0,1940.0,0.0,-2.3521,0.5216,9.588
2026-04-18T09:58:07.573Z,39150.0,2064.0,1940.0,0.0,-2.3521,0.5216,9.588
2026-04-18T09:58:07.573Z,39170.0,2064.0,1946.0,0.0,-2.3581,0.5228,9.5785
